City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mabaruma,8.2,-59.7833,32.0,62,75,4.12,GY,1681410619
84,luwuk,-0.9516,122.7875,25.67,88,100,1.32,ID,1681410619
85,ribeira grande,38.5167,-28.7,18.22,88,75,6.71,PT,1681410620
86,gao,16.6362,1.637,33.08,11,76,4.17,ML,1681410620
87,tambura,5.6,27.4667,20.44,89,100,1.46,SS,1681410620
88,hun,29.1268,15.9477,23.78,9,11,4.24,LY,1681410621
89,panalingaan,8.7842,117.4231,25.28,84,16,1.08,PH,1681410621
90,meulaboh,4.1363,96.1285,25.5,86,100,1.33,ID,1681410621
91,umm kaddadah,13.6017,26.6876,25.17,13,0,5.45,SD,1681410622
92,hermanus,-34.4187,19.2345,17.11,80,0,5.54,ZA,1681410622
93,matai,-8.3,31.5167,16.15,95,100,1.56,TZ,1681410623
94,slonim,53.0867,25.3219,8.53,95,100,3.27,BY,1681410624
95,salihorsk,52.7876,27.5415,7.59,92,100,4.56,BY,1681410624
96,qasigiannguit,68.8193,-51.1922,-2.86,86,100,0.62,GL,1681410624
97,olafsvik,64.8945,-23.7142,3.52,70,94,4.02,IS,1681410625
98,norman wells,65.282,-126.8329,-11.98,72,100,3.6,CA,1681410625
99,poum,-20.2333,164.0167,24.08,93,100,4.06,NC,1681410625
100,saint-philippe,-21.3585,55.7679,25.77,81,38,1.28,RE,1681410625
101,emerald,-23.5333,148.1667,17.4,37,0,4.09,AU,1681410469
102,almeirim,-1.5233,-52.5817,30.19,68,100,1.53,BR,1681410626
103,pevek,69.7008,170.3133,-17.37,96,97,0.67,RU,1681410626
104,mount isa,-20.7333,139.5,22.87,35,87,0.0,AU,1681410627
105,puerto ayora,-0.7393,-90.3518,31.98,87,100,3.58,EC,1681410610
106,narsaq,60.9167,-46.05,11.12,78,100,0.28,GL,1681410627
107,thompson,55.7435,-97.8558,3.09,70,75,1.03,CA,1681410396
108,lasa,46.6166,10.7002,3.49,94,100,3.4,IT,1681410628
109,neuquen,-38.9516,-68.0591,11.94,62,0,4.12,AR,1681410628
110,provideniya,64.3833,-173.3,-17.87,88,8,2.0,RU,1681410629
111,les cayes,18.2,-73.75,28.51,64,83,4.84,HT,1681410633
112,albany,42.6001,-73.9662,29.69,33,0,4.69,US,1681410371
113,codrington,-38.2667,141.9667,11.85,95,2,3.84,AU,1681410635
114,ranong,9.9658,98.6348,26.15,85,12,1.16,TH,1681410636
115,mahebourg,-20.4081,57.7,25.14,94,40,1.54,MU,1681410637
116,ponta do sol,32.6667,-17.1,20.95,72,58,2.15,PT,1681410637
117,inhambane,-23.865,35.3833,24.99,83,20,3.09,MZ,1681410637
118,moranbah,-22.0016,148.0466,18.36,34,0,3.81,AU,1681410638
119,hervey bay,-25.2986,152.8535,19.14,54,0,3.61,AU,1681410638
120,vysotsk,60.6288,28.5705,0.62,81,100,7.41,RU,1681410638
121,sri aman,1.2376,111.4621,25.03,94,36,0.0,MY,1681410639
122,kodiak,57.79,-152.4072,3.73,65,100,3.09,US,1681410639
123,souillac,-20.5167,57.5167,24.21,94,40,1.54,MU,1681410639
124,mount pleasant,32.7941,-79.8626,24.12,69,40,6.17,US,1681410640
125,cape town,-33.9258,18.4232,19.1,65,40,3.09,ZA,1681410640
126,teknaf,20.8624,92.3058,24.5,82,0,1.52,BD,1681410640
127,boa vista,2.8197,-60.6733,33.99,43,75,4.63,BR,1681410641
128,ouro preto do oeste,-10.7481,-62.2158,29.81,70,100,1.93,BR,1681410641
129,oroville,39.5138,-121.5564,17.84,31,0,6.71,US,1681410525
130,timra,62.487,17.3257,4.82,60,40,5.14,SE,1681410641
131,strzelce krajenskie,52.8773,15.5298,9.65,74,100,1.54,PL,1681410641
132,castro,-24.7911,-50.0119,25.52,49,17,0.62,BR,1681410638
133,jaciara,-15.9653,-54.9683,27.93,73,100,1.29,BR,1681410642
134,coquimbo,-29.9533,-71.3436,18.85,72,0,5.66,CL,1681410611
135,jamestown,42.097,-79.2353,25.8,29,0,5.66,US,1681410599
136,buy,58.4786,41.53,1.36,54,6,6.7,RU,1681410403
137,saint albans,51.75,-0.3333,10.69,57,20,7.2,GB,1681410490
138,rezh,57.37,61.4043,-6.29,67,78,5.02,RU,1681410643
139,el alto,-4.2714,-81.2147,29.81,70,97,4.67,PE,1681410643
140,tukrah,32.5341,20.5791,18.58,40,0,2.82,LY,1681410643
141,tuktoyaktuk,69.4541,-133.0374,-23.0,77,75,3.09,CA,1681410644
142,hualmay,-11.0964,-77.6139,26.53,69,37,5.77,PE,1681410644
143,mount gambier,-37.8333,140.7667,11.63,95,3,2.08,AU,1681410644
144,pangnirtung,66.1451,-65.7125,-7.0,68,75,1.54,CA,1681410644
145,luanshya,-13.1367,28.4166,17.0,95,47,1.99,ZM,1681410644
146,haines junction,60.7522,-137.5108,-0.03,64,100,0.0,CA,1681410644
147,aasiaat,68.7098,-52.8699,-3.18,86,94,0.74,GL,1681410645
148,cogoleto,44.3893,8.6429,12.95,80,40,7.15,IT,1681410645
149,kutum,14.2,24.6667,24.61,15,5,4.75,SD,1681410646
150,mar del plata,-38.0023,-57.5575,17.27,52,40,9.77,AR,1681410604
151,monrovia,6.3005,-10.7969,27.14,84,11,3.09,LR,1681410648
152,hofn,64.2539,-15.2082,6.34,76,100,6.46,IS,1681410648
153,merauke,-8.4667,140.3333,24.91,91,100,1.74,ID,1681410650
154,panzhihua,26.5851,101.7128,18.0,34,0,0.9,CN,1681410651
155,cunen,15.3375,-91.0269,27.78,28,99,3.22,GT,1681410653
156,wenling,28.3669,121.36,16.79,98,99,1.67,CN,1681410655
157,cockburn town,21.4612,-71.1419,25.89,76,91,5.6,TC,1681410659
158,quang ngai,15.1167,108.8,24.22,96,41,1.75,VN,1681410660
159,camocim,-2.9022,-40.8411,29.09,75,100,2.85,BR,1681410661
160,mahibadhoo,3.7833,72.9667,28.7,75,18,2.9,MV,1681410662
161,karratha,-20.7377,116.8463,29.64,43,100,7.85,AU,1681410662
162,kaitangata,-46.2817,169.8464,14.96,74,98,5.62,NZ,1681410663
163,butaritari,3.0707,172.7902,27.18,81,75,5.46,KI,1681410664
164,porangatu,-13.4408,-49.1486,30.87,55,43,2.49,BR,1681410581
165,guadix,37.2993,-3.1392,16.18,24,100,3.08,ES,1681410664
166,jardim,-21.4803,-56.1381,28.07,79,95,1.9,BR,1681410664
167,flinders,-34.5833,150.8552,16.77,90,36,3.13,AU,1681410665
168,bealanana,-14.55,48.7333,18.42,95,83,0.39,MG,1681410665
169,chuy,-33.6971,-53.4616,18.06,49,20,5.61,UY,1681410665
170,shatalovo,54.334,32.4465,10.75,62,100,4.17,RU,1681410666
171,luderitz,-26.6481,15.1594,16.06,70,7,6.36,NA,1681410666
172,port hedland,-20.3167,118.5667,28.03,74,75,9.26,AU,1681410666
173,lujan,-34.5703,-59.105,19.45,45,5,1.79,AR,1681410371
174,tiksi,71.6872,128.8694,-15.76,87,100,1.92,RU,1681410667
175,saint-joseph,-21.3667,55.6167,25.21,83,66,1.01,RE,1681410667
176,maningrida,-12.0667,134.2667,25.21,91,100,2.44,AU,1681410667
177,nata,8.3333,-80.5167,30.93,40,91,8.0,PA,1681410668
178,cap malheureux,-19.9842,57.6142,25.26,84,0,1.04,MU,1681410668
179,carnarvon,-24.8667,113.6333,21.44,63,70,12.58,AU,1681410668
180,tuatapere,-46.1333,167.6833,9.63,95,67,1.89,NZ,1681410668
181,eston,51.1501,-108.7514,4.96,53,100,3.26,CA,1681410630
182,tautira,-17.7333,-149.15,26.57,70,31,5.68,PF,1681410669
183,nago,26.5881,127.9761,23.47,92,100,4.01,JP,1681410670
184,taoudenni,22.6783,-3.9836,31.68,7,7,2.72,ML,1681410670
185,khokhlovo,59.1492,37.3998,2.01,67,11,5.77,RU,1681410670
186,bandrele,-12.9067,45.1914,26.86,89,20,0.51,YT,1681410671
187,grand gaube,-20.0064,57.6608,25.21,84,0,1.11,MU,1681410671
188,havelock,34.8791,-76.9013,27.97,50,0,5.66,US,1681410671
189,buala,-8.145,159.5921,25.93,84,84,2.39,SB,1681410671
190,phalaborwa,-23.943,31.1411,24.6,37,0,2.64,ZA,1681410672
191,kapaa,22.0752,-159.319,25.05,83,75,6.17,US,1681410672
192,tasiilaq,65.6145,-37.6368,3.09,91,94,0.92,GL,1681410672
193,saskylakh,71.9167,114.0833,-26.69,100,51,2.37,RU,1681410673
194,palmer,42.1584,-72.3287,31.62,25,0,3.09,US,1681410673
195,kyabe,9.4515,18.9449,30.86,41,79,0.8,TD,1681410673
196,luena,-11.7833,19.9167,17.49,93,26,1.72,AO,1681410674
197,tandil,-37.3217,-59.1332,15.6,31,40,6.67,AR,1681410450
198,korla,41.7597,86.1469,12.63,33,3,2.36,CN,1681410674
199,nyurba,63.2842,118.3319,-18.46,100,79,1.77,RU,1681410674
200,port elizabeth,-33.918,25.5701,17.4,78,0,8.23,ZA,1681410675
201,antropovo,58.3988,43.0066,-0.99,54,0,5.89,RU,1681410675
202,saint-jean-de-braye,47.913,1.9771,9.96,69,0,4.12,FR,1681410675
203,grenfell,-33.9,148.1667,11.67,90,0,3.27,AU,1681410676
204,moron,-34.6534,-58.6198,20.01,37,0,3.13,AR,1681410676
205,luganville,-15.5333,167.1667,26.23,85,99,1.35,VU,1681410677
206,vaini,-21.2,-175.2,25.09,88,40,3.09,TO,1681410677
207,poronaysk,49.2167,143.1167,-0.52,94,100,1.66,RU,1681410678
208,pemangkat,1.1667,108.9667,25.21,80,5,1.02,ID,1681410678
209,teya,60.3778,92.6267,-11.24,96,100,1.52,RU,1681410678
210,ingham,42.6,-84.3833,27.73,30,0,5.14,US,1681410678
211,aksu,41.1231,80.2644,13.58,21,42,2.06,CN,1681410679
212,riachao do jacuipe,-11.8069,-39.3856,31.46,46,57,5.47,BR,1681410679
213,palu,-0.8917,119.8707,24.92,95,100,1.2,ID,1681410679
214,bossangoa,6.4926,17.4552,23.24,80,66,1.37,CF,1681410680
215,kasongo-lunda,-6.4667,16.8167,23.12,89,84,0.36,CD,1681410680
216,colomi,-17.35,-65.8667,23.01,62,50,3.11,BO,1681410680
217,karaton,-6.3424,106.1045,23.47,91,100,2.11,ID,1681410680
218,rio verde de mato grosso,-18.9181,-54.8442,29.94,64,66,2.34,BR,1681410681
219,torbay,47.6666,-52.7314,2.44,96,100,6.17,CA,1681410634
220,bozeman,45.6796,-111.0386,1.23,88,100,1.54,US,1681410399
221,yinchuan,38.4681,106.2731,12.26,14,100,4.0,CN,1681410682
222,inongo,-1.95,18.2667,25.09,77,5,1.23,CD,1681410683
223,intipuca,13.1969,-88.0544,33.94,33,84,2.07,SV,1681410684
224,fairfield,41.2668,-73.3162,31.54,33,0,7.72,US,1681410655
225,havre-saint-pierre,50.2334,-63.5986,3.2,75,100,6.69,CA,1681410685
226,sitka,57.0531,-135.33,4.94,81,100,3.6,US,1681410685
227,bengkulu,-3.8004,102.2655,24.51,90,70,1.87,ID,1681410685
228,hornepayne,49.2138,-84.7705,8.8,75,100,3.49,CA,1681410685
229,piacabucu,-10.4056,-36.4344,27.77,66,100,5.21,BR,1681410686
230,terney,45.0503,136.6092,1.66,70,6,3.08,RU,1681410686
